"Name","DisplayName","State","StartMode"
"ALG","Application Layer Gateway Service","Stopped","Manual"
"AMD External Events Utility","AMD External Events Utility","Running","Auto"
"AppIDSvc","Application Identity","Stopped","Disabled"
"Appinfo","Application Information","Running","Manual"
"AppMgmt","Application Management","Stopped","Manual"
"AppReadiness","App Readiness","Stopped","Manual"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Disabled"
"AsusAppService","ASUS App Service","Stopped","Disabled"
"ASUSLinkNear","ASUS Link Near","Stopped","Disabled"
"ASUSLinkRemote","ASUS Link Remote","Stopped","Disabled"
"ASUSOptimization","ASUS Optimization","Running","Auto"
"ASUSSoftwareManager","ASUS Software Manager","Stopped","Disabled"
"ASUSSwitch","ASUS Switch","Stopped","Disabled"
"ASUSSystemAnalysis","ASUS System Analysis","Stopped","Disabled"
"ASUSSystemDiagnosis","ASUS System Diagnosis","Stopped","Disabled"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Auto"
"Audiosrv","Windows Audio","Running","Auto"
"BFE","Base Filtering Engine","Running","Auto"
"BITS","Background Intelligent Transfer Service","Stopped","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto"
"BTAGService","Bluetooth Audio Gateway Service","Running","Manual"
"BthAvctpSvc","AVCTP service","Running","Manual"
"bthserv","Bluetooth Support Service","Running","Manual"
"camsvc","Capability Access Manager Service","Running","Manual"
"CDPSvc","Connected Devices Platform Service","Stopped","Disabled"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Disabled"
"cloudidsvc","Microsoft Cloud Identity Service","Stopped","Manual"
"COMSysApp","COM+ System Application","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto"
"CryptSvc","Cryptographic Services","Running","Manual"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto"
"defragsvc","Optimize drives","Stopped","Manual"
"DeviceAssociationService","Device Association Service","Running","Manual"
"DeviceInstall","Device Install Service","Stopped","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual"
"Dhcp","DHCP Client","Running","Auto"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Disabled"
"diagsvc","Diagnostic Execution Service","Stopped","Disabled"
"DispBrokerDesktopSvc","Display Policy Service","Stopped","Disabled"
"DisplayEnhancementService","Display Enhancement Service","Stopped","Disabled"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual"
"Dnscache","DNS Client","Running","Auto"
"DoSvc","Delivery Optimization","Stopped","Manual"
"dot3svc","Wired AutoConfig","Stopped","Manual"
"DPS","Diagnostic Policy Service","Stopped","Disabled"
"DsmSvc","Device Setup Manager","Stopped","Manual"
"DsSvc","Data Sharing Service","Stopped","Manual"
"Eaphost","Extensible Authentication Protocol","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Auto"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","Encrypting File System (EFS)","Stopped","Manual"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual"
"EventLog","Windows Event Log","Running","Auto"
"EventSystem","COM+ Event System","Running","Auto"
"fdPHost","Function Discovery Provider Host","Stopped","Disabled"
"FDResPub","Function Discovery Resource Publication","Stopped","Disabled"
"FontCache","Windows Font Cache Service","Stopped","Disabled"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Disabled"
"FrameServer","Windows Camera Frame Server","Stopped","Manual"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual"
"GoogleUpdaterInternalService149.0.7814.0","Google Updater Internal Service (GoogleUpdaterInternalService149.0.7814.0)","Stopped","Disabled"
"GoogleUpdaterService149.0.7814.0","Google Updater Service (GoogleUpdaterService149.0.7814.0)","Stopped","Manual"
"gpsvc","Group Policy Client","Running","Auto"
"hidserv","Human Interface Device Service","Running","Manual"
"icssvc","Windows Mobile Hotspot Service","Stopped","Disabled"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Disabled"
"InstallService","Microsoft Store Install Service","Stopped","Manual"
"iphlpsvc","IP Helper","Stopped","Disabled"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Disabled"
"KeyIso","CNG Key Isolation","Running","Manual"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Disabled"
"LanmanServer","Server","Stopped","Disabled"
"LanmanWorkstation","Workstation","Stopped","Disabled"
"LicenseManager","Windows License Manager Service","Stopped","Disabled"
"lmhosts","TCP/IP NetBIOS Helper","Stopped","Disabled"
"LSM","Local Session Manager","Running","Auto"
"LxpSvc","Language Experience Service","Stopped","Manual"
"McpManagementService","McpManagementService","Stopped","Manual"
"mpssvc","Windows Defender Firewall","Running","Auto"
"MSDTC","Distributed Transaction Coordinator","Stopped","Disabled"
"msiserver","Windows Installer","Stopped","Manual"
"NcbService","Network Connection Broker","Running","Manual"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual"
"Netlogon","Netlogon","Stopped","Manual"
"Netman","Network Connections","Stopped","Manual"
"netprofm","Network List Service","Running","Manual"
"NetSetupSvc","Network Setup Service","Stopped","Manual"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Disabled"
"NgcSvc","Microsoft Passport","Stopped","Manual"
"NlaSvc","Network Location Awareness","Running","Auto"
"nsi","Network Store Interface Service","Running","Auto"
"PcaSvc","Program Compatibility Assistant Service","Stopped","Disabled"
"PerfHost","Performance Counter DLL Host","Stopped","Manual"
"pla","Performance Logs & Alerts","Stopped","Manual"
"PlugPlay","Plug and Play","Running","Manual"
"PolicyAgent","IPsec Policy Agent","Stopped","Manual"
"Power","Power","Running","Auto"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual"
"ProfSvc","User Profile Service","Running","Auto"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Disabled"
"RasMan","Remote Access Connection Manager","Stopped","Disabled"
"RmSvc","Radio Management Service","Running","Manual"
"RpcEptMapper","RPC Endpoint Mapper","Running","Auto"
"RpcSs","Remote Procedure Call (RPC)","Running","Auto"
"SamSs","Security Accounts Manager","Running","Auto"
"Schedule","Task Scheduler","Running","Auto"
"seclogon","Secondary Logon","Stopped","Manual"
"SENS","System Event Notification Service","Running","Auto"
"SensorDataService","Sensor Data Service","Stopped","Manual"
"SensorService","Sensor Service","Stopped","Manual"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Disabled"
"ShellHWDetection","Shell Hardware Detection","Stopped","Disabled"
"SNMPTRAP","SNMP Trap","Stopped","Manual"
"Spooler","Print Spooler","Stopped","Disabled"
"sppsvc","Software Protection","Stopped","Manual"
"SSDPSRV","SSDP Discovery","Stopped","Disabled"
"SstpSvc","Secure Socket Tunneling Protocol Service","Stopped","Disabled"
"StateRepository","State Repository Service","Running","Manual"
"stisvc","Windows Image Acquisition (WIA)","Stopped","Disabled"
"StorSvc","Storage Service","Running","Auto"
"svsvc","Spot Verifier","Stopped","Manual"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"SysMain","SysMain","Stopped","Disabled"
"SystemEventsBroker","System Events Broker","Running","Auto"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Stopped","Disabled"
"TapiSrv","Telephony","Stopped","Manual"
"Themes","Themes","Stopped","Disabled"
"TimeBrokerSvc","Time Broker","Running","Manual"
"TokenBroker","Web Account Manager","Stopped","Disabled"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual"
"upnphost","UPnP Device Host","Stopped","Manual"
"UserManager","User Manager","Running","Auto"
"UsoSvc","Update Orchestrator Service","Stopped","Auto"
"VaultSvc","Credential Manager","Stopped","Disabled"
"vds","Virtual Disk","Running","Manual"
"VSInstallerElevationService","Visual Studio Installer Elevation Service","Stopped","Manual"
"VSS","Volume Shadow Copy","Stopped","Manual"
"VSStandardCollectorService150","Visual Studio Standard Collector Service 150","Stopped","Manual"
"W32Time","Windows Time","Stopped","Manual"
"WaaSMedicSvc","Windows Update Medic Service","Stopped","Manual"
"WarpJITSvc","WarpJITSvc","Stopped","Disabled"
"Wcmsvc","Windows Connection Manager","Running","Auto"
"WdiServiceHost","Diagnostic Service Host","Stopped","Disabled"
"WdiSystemHost","Diagnostic System Host","Stopped","Disabled"
"Wecsvc","Windows Event Collector","Stopped","Disabled"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Disabled"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual"
"Winmgmt","Windows Management Instrumentation","Running","Auto"
"WlanSvc","WLAN AutoConfig","Running","Auto"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual"
"WManSvc","Windows Management Service","Stopped","Manual"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Disabled"
"WpnService","Windows Push Notifications System Service","Stopped","Disabled"
"WSearch","Windows Search","Stopped","Disabled"
"wuauserv","Windows Update","Stopped","Manual"
"XblAuthManager","Xbox Live Auth Manager","Stopped","Disabled"
"XblGameSave","Xbox Live Game Save","Stopped","Disabled"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Disabled"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Disabled"
"BcastDVRUserService_302dc","GameDVR and Broadcast User Service_302dc","Stopped","Disabled"
"BluetoothUserService_302dc","Bluetooth User Support Service_302dc","Stopped","Manual"
"CaptureService_302dc","CaptureService_302dc","Stopped","Manual"
"cbdhsvc_302dc","Clipboard User Service_302dc","Stopped","Disabled"
"CDPUserSvc_302dc","Connected Devices Platform User Service_302dc","Stopped","Disabled"
"ConsentUxUserSvc_302dc","ConsentUX_302dc","Stopped","Manual"
"CredentialEnrollmentManagerUserSvc_302dc","CredentialEnrollmentManagerUserSvc_302dc","Stopped","Disabled"
"DeviceAssociationBrokerSvc_302dc","DeviceAssociationBroker_302dc","Stopped","Manual"
"DevicePickerUserSvc_302dc","DevicePicker_302dc","Stopped","Manual"
"DevicesFlowUserSvc_302dc","DevicesFlow_302dc","Stopped","Manual"
"PimIndexMaintenanceSvc_302dc","Contact Data_302dc","Stopped","Disabled"
"PrintWorkflowUserSvc_302dc","PrintWorkflow_302dc","Stopped","Manual"
"UdkUserSvc_302dc","Udk User Service_302dc","Stopped","Manual"
"UnistoreSvc_302dc","User Data Storage_302dc","Stopped","Disabled"
"UserDataSvc_302dc","User Data Access_302dc","Stopped","Disabled"
"WpnUserService_302dc","Windows Push Notifications User Service_302dc","Stopped","Disabled"
"TermService",,,
